Job 245: Waiting time = 0.0016804999999999737 | Resolution time = 0.001664299999999841 | Resolution type = None
Job 246: Waiting time = 0.00038659999999968164 | Resolution time = 0.00036150000000034765 | Resolution type = Policy
Job 247: Waiting time = 0.0010609999999999786 | Resolution time = 0.0010430000000001272 | Resolution type = Policy
Job 248: Waiting time = 0.0013028000000003814 | Resolution time = 0.0012851999999998753 | Resolution type = Policy
Job 249: Waiting time = 0.0009646999999999295 | Resolution time = 0.000944599999999518 | Resolution type = Policy
Job 250: Waiting time = 0.0009000999999999593 | Resolution time = 0.0008343000000001766 | Resolution type = Policy
Job 251: Waiting time = 0.0016818999999994588 | Resolution time = 0.0008100999999998137 | Resolution type = Policy
Job 252: Waiting time = 0.0005628999999993667 | Resolution time = 0.0005370000000004538 | Resolution type = Policy
Job 253: Waiting time = 0.0023716000000000292 | Resolution time = 0.002264900000000125 | Resolution type = None
Job 254: Waiting time = 0.002595499999999973 | Resolution time = 0.00024930000000011887 | Resolution type = Policy
Job 255: Waiting time = 0.0028151000000002924 | Resolution time = 0.00022979999999961365 | Resolution type = Policy
Job 256: Waiting time = 0.004117799999999505 | Resolution time = 0.0013062000000001461 | Resolution type = None
Job 257: Waiting time = 0.0011023999999997258 | Resolution time = 0.0010855999999996868 | Resolution type = Policy
Job 258: Waiting time = 0.004255200000000237 | Resolution time = 0.00423849999999959 | Resolution type = None
Job 259: Waiting time = 0.0033986999999999767 | Resolution time = 0.0033745999999998944 | Resolution type = None
Job 260: Waiting time = 0.0036396999999999124 | Resolution time = 0.003568099999999852 | Resolution type = None
Job 261: Waiting time = 0.004640099999999592 | Resolution time = 0.0010226999999991548 | Resolution type = Policy
Job 262: Waiting time = 0.004082899999999334 | Resolution time = 0.004057399999999767 | Resolution type = None
Job 263: Waiting time = 0.00453780000000048 | Resolution time = 0.00447009999999981 | Resolution type = None
Job 264: Waiting time = 0.007714400000000232 | Resolution time = 0.003201200000000348 | Resolution type = None
Job 265: Waiting time = 0.0011554000000000286 | Resolution time = 0.0011397000000004098 | Resolution type = Policy
Job 266: Waiting time = 0.0002755999999992653 | Resolution time = 0.00013700000000049783 | Resolution type = Policy
Job 267: Waiting time = 0.0016865999999993164 | Resolution time = 0.0016574999999994233 | Resolution type = None
Job 268: Waiting time = 0.0006076000000003745 | Resolution time = 0.0005877999999999162 | Resolution type = Policy
Job 269: Waiting time = 0.0020303999999997657 | Resolution time = 0.0017917000000000627 | Resolution type = Policy
Job 270: Waiting time = 0.006634899999999888 | Resolution time = 0.0045935999999997534 | Resolution type = None
Job 271: Waiting time = 0.007458599999999649 | Resolution time = 0.0008169999999996236 | Resolution type = Policy
Job 272: Waiting time = 0.009400900000000156 | Resolution time = 0.0019435999999997122 | Resolution type = None
Job 273: Waiting time = 0.009898500000000254 | Resolution time = 0.000502400000000236 | Resolution type = Policy
Job 274: Waiting time = 0.011814199999999886 | Resolution time = 0.0019125000000004277 | Resolution type = None
Job 275: Waiting time = 0.0152941000000002 | Resolution time = 0.0034832000000006857 | Resolution type = None
Job 276: Waiting time = 0.017188599999999887 | Resolution time = 0.0018773000000003037 | Resolution type = None
Job 277: Waiting time = 0.017420300000000388 | Resolution time = 0.00023800000000040455 | Resolution type = Policy
Job 278: Waiting time = 0.003233400000000053 | Resolution time = 0.0027594999999998038 | Resolution type = Policy
